name,contact_person,email,phone
TechCorp Inc,John Smith,john.smith@techcorp.com,555-0101
Electronics Hub,Sarah Johnson,sarah.j@ehub.com,555-0102
Global Gadgets,Michael Brown,m.brown@globalgadgets.com,555-0103
Digital Solutions,Emily Davis,emily@digitalsolutions.com,555-0104
Smart Supplies,David Wilson,david.w@smartsupplies.com,555-0105
Tech Distributors,Lisa Anderson,l.anderson@techdist.com,555-0106
Gadget World,Robert Taylor,robert@gadgetworld.com,555-0107
Computer Parts Plus,James Miller,james@cpplus.com,555-0108
Electronics Direct,Amanda White,amanda@edirect.com,555-0109
Tech Warehouse,Kevin Lee,kevin.lee@techwarehouse.com,555-0110
